,text,number of annotations,hard_label,soft_label,split,disagreement_lev
42,عشر ملايين للي يتزوج وحدة ثانية تحس نفسك عايش بمزاد وكل هالسوالف واذا نحكي كلمة هاا نسويات دمرونا اوع,3,0,"{'0': 0.67, '1': 0.33}",train,1
43,حصحص تنمرت اللي يستاهل التنمر بنات رخيصات ينزلون صورهم اكيد بتحيهم انتقادات كثيره تنمر,3,1,"{'0': 0.0, '1': 1.0}",train,0
44,خلاص يلعن ابو النسويات زودو امها والله ويقعدو يعممو وبعدين بعقلك بينيك بسه قحيب,3,1,"{'0': 0.0, '1': 1.0}",train,0
45,زيها كثير مسوين متمردات يبغالها فقط ديب ثروت ووضعها بيتعدل لاكن محد يتنازل للاسف,3,1,"{'0': 0.33, '1': 0.67}",train,1
46,المهم طلعنا الرحلة قلنا نبي مطعم جوعانين جان تزفنا وقالت انتوا صايعات تبون تروحون المطعم عشان الشباب يغازلونكم قلنا خلاص درايف ثرو ماننزل جان تقول ايه عشان تجمعون علي الشباب حوالين الباص كانت مريييضة ومعقدة الله يعين عيالها عليها,3,0,"{'0': 0.67, '1': 0.33}",train,1
47,ايريدون وطن ضفاف نهر دجلة ساقطات فاسدات,3,1,"{'0': 0.0, '1': 1.0}",train,0
48,واغلب المعرفات سعوديه خارج الوطن الشريف النسويات اخلاق دين قذرات خربو بيوت وفرقو ازواج,3,1,"{'0': 0.0, '1': 1.0}",train,0
49,وربي رخيصات قرف مقرفين,3,1,"{'0': 0.0, '1': 1.0}",train,0
50,فيك تعطي رايك برسمة بمسلسل سطفل العنف المرأة بشيء يعطى الرأي,3,0,"{'0': 1.0, '1': 0.0}",train,0
51,الححش ال7مار كانت امها تقول البنات اللي يكشفوا وجوههم فاسدات ايش تتوقعي بنتها تطلع,3,0,"{'0': 0.67, '1': 0.33}",train,1
52,تريدون النساء رخيصات عاريات فلتكن امهاتكم واخواتكم ولتكونو انتم ذكورا رجال مثلكم كمثل الخراف نريدهم عزيزات مستورات ستر الله امهاتنا واخواتنا الدنيا والأخرة انتم تجعلون نسائكم سلعه وعرضة للعادى والبادى فرجال يكون لنسائنا,3,1,"{'0': 0.0, '1': 1.0}",train,0
53,مشكله اللي مايعرف يسولف ويبي يفتح سالفه سالفه يقاله فاهم يقولك البنت لبنانيه وتقول تجنيس وبعدين اسطوانة بناتنا ملائكة وبنات الدول الثانيه فاسقات انتهت موضتها وصارت سخيفه,3,0,"{'0': 1.0, '1': 0.0}",train,0
54,الفسويات فيهم غباء,3,1,"{'0': 0.0, '1': 1.0}",train,0
55,ههه ههه علي بالحرام رسميا ناقصات عقل ودين رسميا ههه,3,1,"{'0': 0.0, '1': 1.0}",train,0
56,حرق . بداية الفصل القادم أيتها اللعنة نوعك المفضل النساء السؤال يبدأ الجلد,3,1,"{'0': 0.0, '1': 1.0}",train,0
57,الاسلام أعطى المرأة حقها الكثيرون لايريدون سماع مثل الكلام يريدون يعاب الاسلام ويدموه وان ينفر الناس بدعأت باطلة _شقائق 21/10 2020,3,0,"{'0': 0.67, '1': 0.33}",train,1
58,نسوان ستات بنات مدامات هوانم اوانس عوانس ارامل محجبات سافرات متزوجات مطلقات وانت اولهن,3,0,"{'0': 0.67, '1': 0.33}",train,1
59,ناقصات عقل يعني بتتعامل بالعاطفه يعني معاك طفل بيبكي هتستحمله بكل حياته كراجل ممكن يزهق دقيقه نقطة دين اكيد يعني زوجتك اختك بيكون عندها ظروف تمنعها انها تصوم أوقات معينه عارف ايه الظروف تبقي انت فعلا انسان مريض,3,0,"{'0': 1.0, '1': 0.0}",train,0
60,هاي النقطة الدين الإسلامي حفظ حقوق المرأة قبل قرون طلعة الفيمينست انا بحترم اشياء بيعملوها الفيمينست كمان انت لازم تحترم الاشياء الي انا معها,3,0,"{'0': 1.0, '1': 0.0}",train,0
61,ومافيك تنكرين الفروق الرجل والمرأة وعلى الانسان الواعي العاقل يكون مدرك لهذا الأمر مكان وزمان وطبع يبت المعلومه فهو لأمرين جهل وتصديقين لكلام وتطبيل النسويه الفاضي وإما تكبر وإعراض,3,0,"{'0': 0.67, '1': 0.33}",train,1
62,العنف الاجتماعي تزايد ارتفاع الجرائم النساء 153 جريمة خلال آخر أشهر مقابل 116 جريمة أول أشهر عام 2020 ينتهي العنف المرأة,3,0,"{'0': 1.0, '1': 0.0}",train,0
63,فين شيوخ العار يتحدثون العنف المرأة شجبتوا ونددتوا ولولوتوا علي الكلب الاجرب إساء لرسول الامة اين انتم واين ذهبت حناجركم انتم رجال حقا انتم مسلمون حقا انتم تحت لواء لااله الا الله محمد رسول الله حقا بعتوا دينكم بعرض,3,0,"{'0': 1.0, '1': 0.0}",train,0
64,النساء ناقصات عقل ودين يدل النساء اقل دين وعقل الرجال يدل النساء ناقصات عقل الشهادة فقط لان شهادة الرجل بشهادة أمرأتين وناقصات الدين لأنها تصلي وتصوم ايام الشهر إستخدامك الحديث للإساءة للمرأة يدل نقص دينك وعقلك وثقافتك وتشويه للإسلام,3,0,"{'0': 1.0, '1': 0.0}",train,0
65,انا بوسط جمعة الا بيقنعوني انو النساء ماخذين حقوقهم لدرجة انهم ينعطوا وجه وصاروا متمردات وانا بتضارب واحتمال امي تذبحن اليوم,3,0,"{'0': 0.67, '1': 0.33}",train,1
66,سواء سائق تقود الحالتين تعرض نفسها للخطر تخلى الأب والأخ والزوج والولد مسؤولية اهله ولم يقوموا بواجبهم مثل ماكان السابق كان السبب لجوء النساء لبديل فكان اولا سائق للأسرة ليموزين قادت السيارة وهكذا انا احمل المرأة وحدها ارجوا انكم فهمتم,3,0,"{'0': 0.67, '1': 0.33}",train,1
67,فعلا ناقصات عقل دين وحاليا صاروا فوقها ناقصات جمال ونظافه اكثر اهل النار وحطب جهنم,3,1,"{'0': 0.0, '1': 1.0}",train,0
68,ناقصات عقل دين,3,1,"{'0': 0.0, '1': 1.0}",train,0
69,اخر الصف كلهم البنات كلهم جلستهم الطاولات الخامسة والسادسة وبعدين قالت الرجال قاومون النساء الرجال صناع المستقبل قدوة الجيل والبنات فاسقات متربيات بنات الجيل المفروض يحبسوهم البيوت كثر ماهم متفرعنين وانا الله يطول عمري كنت,3,1,"{'0': 0.33, '1': 0.67}",train,1
70,بالضبط أستاذة البعض استغل يوم المرأة اليمنية لتمجيد تاريخ قديم للمرأة متجاهلين الحالة المأساوية لحياة المرأة اليمنية اليوم والتي نفت أنها القاع شيء دونه هدفنا النفاق والتزيف كشف الحقيقة والحقيقة الم فقط يتسنى التغيير,3,0,"{'0': 1.0, '1': 0.0}",train,0
71,ربي تهنئوا سافرات سجينات والله متأخرات,3,0,"{'0': 1.0, '1': 0.0}",train,0
72,أكيد حقوق المرأة عاملين شغل جامد,3,0,"{'0': 0.67, '1': 0.33}",train,1
73,كان أحد الشيوخ مرة راكب الطائرة فعرفت إحدى النساء المتبرجات بحضوره فجاءته سائلة متنقصة حيح النبي قال النساء إنهن ناقصات عقل ودين فقال مؤدبا الحديث الحديث لعائشة وحفصة وأمثال عقل,3,1,"{'0': 0.0, '1': 1.0}",train,0
74,اشكالهم مقرفه اما بنسبه لموضوع التحرش مصر شوارع مصر معظمها خاليا الشرطه ثانيا معظم بنات مصر افعالهم تلفت الانظار الشباب ولكل يلوم الشباب لماذا يتبعو الحشمه ثالث لبد تطبيق قانون حكم اعدام لمن يتحرش البنات,3,1,"{'0': 0.33, '1': 0.67}",train,1
75,احنا نطالب بحقوق النساء لان القانون ياخذ حقهم لحد الان الي قتلو زوجاتهم اخواتهم تحاسبو انعدمو عايشين حياة طبيعية مطالبنا تحقيق العدالة مثلما اعتقلو الام يعتقلون الي قتل زوجته اخته يعدموهم ليش المرأة بالعراق دمها رخيص,3,0,"{'0': 1.0, '1': 0.0}",train,0
76,يقنع الفلسطينيون الفتيات بالزواج منهن يأخذوهن القرية يسمح لليهود بدخول قرية عربية تبكي الكثير النساء ويريدن العودة المنزل والزوج يسمح يأخذ الأطفال يضرب أمر محزن جدا,3,0,"{'0': 1.0, '1': 0.0}",train,0
77,يلا حضروا نفسكم متبرجات نروح كلنا سوه,3,0,"{'0': 0.67, '1': 0.33}",train,1
78,همه رادوا يشرعون قانون العنف الاسري وحماية المرأة انكلبت الدنيا بالمظاهرات اساس راح تطلع عين المرأة وتصير للرجل استاذ الاسف الجهل انتشر شعب انطي لطم وقرايات,3,0,"{'0': 0.67, '1': 0.33}",train,1
79,حدد يوم المرأة العالمية نزل بكتاب بسنه جاء بعادات القبيله نسمية يوم المراءه المنحرفه الكتاب والسنة والعرف القبلي المتحرره,3,1,"{'0': 0.33, '1': 0.67}",train,1
80,مااكتشفت اغلبهن يامطلقات وحاقدين المجتمع صايعات ويبغون الافلات لاتتعبين معهم ولامع الذكور الزلايب اللي يدعمونهم ويبغوا فساد المجتمع يصلون بسهوله للمغفلات وممارسة الرذيلة كفانا الله شرهم وشر فكرهم المنحل,3,1,"{'0': 0.0, '1': 1.0}",train,0
81,حرية الرأي بيوقف اعتبار النساء آلة للتكاثر تبرير العنف المرأة,3,0,"{'0': 1.0, '1': 0.0}",train,0
82,النسويات مزعجينا بنت الرجال واخت الرجال تفتخر بابوها واخوها وزوجها وتعتز وبحرصهم وغيرتهم عليها وخدمتهم اغلب المطالبات باسقاط الولاية شوية خمة ونسويات مفلوتات همهم هدم البيوت والاسرة والمجتمع,3,1,"{'0': 0.33, '1': 0.67}",train,1
83,واضح شفنا الانحلال النسويات كثرو الله يصلح الحال,3,1,"{'0': 0.0, '1': 1.0}",train,0
84,اللي الولاده ادري عنه ومعروف الطفلين اللي يدها عدوا مرحله الولاده رحمه عندكم نساء قذرات,3,1,"{'0': 0.0, '1': 1.0}",train,0
85,وهل كانوا نساء زمان يتراقصن بكامل زينتهن متبرجات بمفاتنهن وهل كانوا نساء زمان يلبسون بناطيل وبلايز قصيره وهل كانوا نساء زمان كانوا ينفخن براطمهم وتعبيها روج بكل الألوان وهل كانوا نساء زمان تسرح شعرها بكل الصبغات وتسريحات المخله بالآداب,3,1,"{'0': 0.33, '1': 0.67}",train,1
86,الاشكال هاي ولك صرت اكره النسوية بزيادة,3,1,"{'0': 0.0, '1': 1.0}",train,0
87,مين باقي يقول رخيصات,3,0,"{'0': 0.67, '1': 0.33}",train,1
88,انتي تفهمي معنى الحديث جيدا فنقص عقل المرأة ودينها المقصود الجنس جنس عقل الرجال اكمل جنس عقل النساء فغالب النساء ناقصات عقل ودين الحديث يوجد النساء أكمل دينا وعقلا كثير الرجال فعائشة مثلا أكمل عقلا ألوف رجال اليوم بلا,3,0,"{'0': 0.67, '1': 0.33}",train,1
89,وانا كنت اقصد بكلامي تنبيه لشي انها مدعومه جهه معينه ويساعدونها للترغيب للبنات اللي قاعدبن يطالبون باسقاط الولايه,3,0,"{'0': 0.67, '1': 0.33}",train,1
90,اففف فضحتونا خارج القروب تتهاوشون صايعات,3,1,"{'0': 0.33, '1': 0.67}",train,1
91,نفسها اللي كانت تقول للبنات فاسدات وامها تضحك,3,0,"{'0': 1.0, '1': 0.0}",train,0
92,عندنا حريم رخيصات شغالات بالموساد الإسرائيلي,3,1,"{'0': 0.0, '1': 1.0}",train,0
93,اعرف إجابه لماذا اكثرية النساء يتسلطن ازواجهم ويريدون التحكم ويلجؤون الي السحر يكون خادم مطيع ويريدون الاستحواذ لهمن فقط شيء يقرف نساء متسلطات,3,1,"{'0': 0.0, '1': 1.0}",train,0
94,بالضبط ميكدرون يشوفون نساء متحررات وقويات الا يحطون الف سبب والف حجة عشتي حبيبي,3,0,"{'0': 1.0, '1': 0.0}",train,0
95,منحطات عبالهن الحرية اسرح وامرح بكيفك يمعودين الحرية حقوق وواجبات,3,1,"{'0': 0.0, '1': 1.0}",train,0
96,ميهمناااش برضه مشيت كواكب مجرة درب التبانه كده كوكب كوكب برضه ناقصات عقل دين,3,1,"{'0': 0.0, '1': 1.0}",train,0
97,ترى اذا امك راحت لبعض الأسر بيعطونها نقاب وعباية وانت بيعطونك جلابية لأنه بمفهموهم انتي وامك بلبسكم فاسدات,3,1,"{'0': 0.33, '1': 0.67}",train,1
98,بالزززبططط الكل واقف النسويات لانهم شايفين نسوية بتدافع الالحاد والشواذ حقوق المراة وهدولاك مشكلتهم نفسهميدافعو يلي بدهم اياه طبعا هاد يلي بيقلك يحرق النسويات عشان بيكرهونا,3,0,"{'0': 1.0, '1': 0.0}",train,0
99,فاجرات مين الله يمتحنكم,3,0,"{'0': 1.0, '1': 0.0}",train,0
100,معنى النسويه المساواه تتفلسف وهي ماتدري السالفه,3,0,"{'0': 1.0, '1': 0.0}",train,0
101,احد آليات مواجهة العنف المرأة زيادة وعي أفراد الأسرة بخطورة العنف العائلي تزويدهم بالمعارف والمعلومات تؤدي تطوير إطارهم المرجعي ومخزونهم المعرفي بشكل إيجابي بعيدا مظاهر العنف والعدوان,3,0,"{'0': 1.0, '1': 0.0}",train,0
102,عقول مريضة وتربية شوارع صديقتي كلشي مسموح للشباب البنت تحجي يسون حالهم فلاسفة بنات,3,0,"{'0': 1.0, '1': 0.0}",train,0
103,أيتها الفتاة يجد الفاسق فاس قات بغايا الرجل الصحيح الرجولة يجد غيرك,3,0,"{'0': 1.0, '1': 0.0}",train,0
104,كاين المتبرجات مثلك شاكلتك طلقوا الزيزي رموهم ولم يتزوجوا فاصبحنا يردنا النساء يكونو سافرات عاهرات متبرجات مثلكم,3,1,"{'0': 0.0, '1': 1.0}",train,0
105,داشرات مشبهرات كالغنم,3,1,"{'0': 0.0, '1': 1.0}",train,0
106,امنية المغنيات والمغنين والمؤثرين يعطوا رأيهن بالقضايا النسوية,3,0,"{'0': 1.0, '1': 0.0}",train,0
107,بعدين اسمع سربوت يقول البنات ناقصات عقل ودين هذاكم مابكم عقل دين ماجت نقص تبعا الحتسي للبعض,3,0,"{'0': 1.0, '1': 0.0}",train,0
108,الرجل جاري التعميم نصف الكرة الارضية تقريبا الفسويات ... احسنتوا تحفه التخلف,3,1,"{'0': 0.33, '1': 0.67}",train,1
109,الله ياخذ النساء,3,1,"{'0': 0.0, '1': 1.0}",train,0
110,تكلمت معاك بكل ادب حسب مثالك الايمان ينقص بفعل المنكرات أعرف ديني كامل احتاج نصائحك اشفق تنصحينهم غدا سنرا متبرجات يأمورون بلبس الحجاب وهم لايلبسونه عشن اعطيتك مثال زعلتي والقيتي اللوم بأني لافهم الدين غريب أمرك,3,0,"{'0': 0.67, '1': 0.33}",train,1
111,عرفي النسوية درجتين,3,0,"{'0': 1.0, '1': 0.0}",train,0
112,خبلة الي بيعدد ممكن ياخذ خارج دائرتها والي بيسأل عنه مهوب سائل النساء سأل ازواجهن فغالبا الرجل يمدح الرجل كان,3,1,"{'0': 0.33, '1': 0.67}",train,1
113,كانو زمان يقولو يتمنعن وهن الراغبات دلوقتي الزمن انقلب حاله وبقيو يطلبن وهن رخيصات رحم ربي,3,1,"{'0': 0.0, '1': 1.0}",train,0
114,والله جنبها المرأة تقود عشان شوفوني وبعد دقائق طبع آخر السيارة اللي قبلها وأصلح اصلحك الله ومعارض المحافظة تمتلئ بسيارات شوفوني معروضة للبيع الأخير مايصح الا الرجل ...,3,1,"{'0': 0.33, '1': 0.67}",train,1
115,صحيح مهمتها تفصل الدين مثل يريد ولي الامر مثلا ولي الامر يرضى المراة تقود السيارة الهيئة تقول حرام ويتفلسفون ادلة الحرمة وبعد تغير راي ولي الامر كانت الهيئة حاضرة الفتوى جواز ركوب السيارة للمرأة,3,0,"{'0': 1.0, '1': 0.0}",train,0
116,برضو بمزاجنا نصير طيعات متمر دات بالمناسبة أمس عصيد,3,0,"{'0': 1.0, '1': 0.0}",train,0
117,انا اشفق رجل متزوج باامراة مادية لانه اكيد راح يصل لمرحله يتوسل اهتمامها عاطفتها وحقه الشرعي النوع النساء اناني جحود ياخذ يمكن يعطي اذا ارتبط الزواج بالماديات تبدأ التعاسة الزواج رابط مقدس اذا مافيه واهتمام رغبه داخليه راح يضيع عمرك تدفع سعادة,3,0,"{'0': 1.0, '1': 0.0}",train,0
118,بالهم البنات رخيصات,3,0,"{'0': 0.67, '1': 0.33}",train,1
119,كانت النساء ناقصات عقل دين اؤتمنت تربية الاجيال تلو الاجيال,3,0,"{'0': 1.0, '1': 0.0}",train,0
120,يعني انت بكرش بتهتم بمظهرك نضافتك الشخصيه علشان انت بوع تؤتؤ علشان الستات ناقصات عقل دين مين اللي ناقص عقل دين ناااو,3,0,"{'0': 1.0, '1': 0.0}",train,0
121,اناقة واحتشام علما المسلمين كانوا ينتقدون بان نسائهم سافرات وقلة غيرة الرجال الاروبيين ههه دار الزمان وصرنا موضع سخرية حسبنا الله ونعم الوكيل,3,0,"{'0': 0.67, '1': 0.33}",train,1
122,عاجل مطلوب متحررات للزواج وجادات,3,0,"{'0': 1.0, '1': 0.0}",train,0
123,ترجع النساء للصراع الأزلي الجنسين وعرض جرائم الجنس الآخر بوفرتها ونوعها العصور مناقشة لمثل الأشكال ومقابلة الأحاديث بالوقائع أحد يفكر يعلق النساء لايمكن يتجاوزن مامضى ويماهين الحدود الإنسانيات دائما ومنذ زمن كان أغلبكم أشطر بهذي التصنيفات البشعة,3,0,"{'0': 0.67, '1': 0.33}",train,1
124,وين الفسويات الي يهاجمون الشباب بكل صغيره وكبيره,3,1,"{'0': 0.33, '1': 0.67}",train,1
125,والبنات الي يجلسون الاستراحات العيال بالاسابيع هذول يعتبرون صايعات جالسين اخوانهم الاسلام,3,0,"{'0': 0.67, '1': 0.33}",train,1
126,ايه اللى رغبة منطقية يعنى عايزين يتحرشوا مبيلاقوش فرصة ليه مثلا مبيركبوش مواصلات مبيمشوش شوارع انا يااما ركب جمبي بنات عمري فكرت المس واحدة فهمنى بقى فين الرغبة فرصة اسكت حسام ربنا يهديك علشان اشوفك هطلع ميتين امك كلامك,3,0,"{'0': 1.0, '1': 0.0}",train,0
127,صدق رسول الله الصلاة والسلام ينطق الهوى قال عنهن ناقصات عقل ودين وزد حاليا نقص كرامتهن وحيائهن فقسما تجد امرأة حره وتربيتها صحيحه تعمل أجنبي يتسلى أماكن إشتراطات تحفظ كرامتها لتصبح مثلها مثل الخادمه المنزليه يستعبدها عملها,3,1,"{'0': 0.0, '1': 1.0}",train,0
128,الفرق تحجيم الذنب يعني نسبة كبيرة العيال يدخنون نصف النسبة البنات دخنوا تلاقينهم كبروا الموضوع وان البنات اكثرهن فاسدات الذنب واحد ونسبة البنات اقل,3,0,"{'0': 1.0, '1': 0.0}",train,0
129,لاوالله المقصد الحديث معنى ناقصات عقل شهادة المرأتين مثل شهادة الرجل الواحد ناقصات دين معناها المرأة تصلي اثناء الحيض لاتفسري الأحاديث تهوين,3,0,"{'0': 1.0, '1': 0.0}",train,0
130,اللبس حرية شخصية انه تعمل خاطى وانها متزوجة رجل كويتي فاين حقوق رجلها الكويتي واما يدعون بحقوق المرآة اين حقوقها انا اعتقد بان مسالة اداب وانما مسالة شخصية وانتقام,3,0,"{'0': 0.67, '1': 0.33}",train,1
