,text,number of annotations,hard_label,soft_label,split,disagreement_lev
13,and y’all niggas wanna vaca to FL now of all times 🤣 y’all really just dumb,5,1,"{'0': 0.0, '1': 1.0}",train,0
14,<user> You are a liar!!! #BidenCrimeFamilyExposed  Biden is a threat to national security!! #Trump2020 and #VoteRed2020ToSaveAmerica,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
15,"<user> <user> Is it real but if its Waziristan,obviously soldiers must b dealing wid terrorists who kill our citizens &amp; soldiers ( as four PakArmy men hv been martyred even yesterday) There is no comparison of TTP /their abettors wid innocent unarmed Kashmiris or George Floyd  <user>",5,0,"{'0': 1.0, '1': 0.0}",train,0
16,"The stupidity of Democrats &amp; so-called ""Liberals"" never ceases to amaze me......",5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
17,"<user> If it’s for the people then nothing needs to be in it except for stimulus for the people, covid supplies and help for small businesses! Leave the other crap out of it! Not everyone gets unemployment so from April to Aug with no help is too long. 🇺🇸🇺🇸",5,0,"{'0': 1.0, '1': 0.0}",train,0
18,Words fail me...this is awful..just awful #HeartBreaking #BlackLivesMatter #PoliceBrutality #PoliceViolence,5,0,"{'0': 1.0, '1': 0.0}",train,0
19,He even admitted it!!  #voterfruad,5,0,"{'0': 1.0, '1': 0.0}",train,0
20,Twitter Slapped a 'Glorifying Violence' Label on a Trump Tweet That Threatened George Floyd Protesters in Minneapolis With Getting Shot <url>,5,0,"{'0': 1.0, '1': 0.0}",train,0
21,🔴WHY IS THE RIGHT ALWAYS SO DAMN WRONG⁉️ Bikers for Founder Says the Left 'Planned' the Coronavirus Pandemic to Hurt Trump <url>,5,0,"{'0': 0.8, '1': 0.2}",train,2
22,"""Trump tweeted """"Stock Market starting to look very good to me!"""" a month after administration officials &amp; senators held a classified coronavirus briefing. It'd be nice to see his tax returns and learn whether he profited from inside info while telling Americans a rosier tale. <url>",5,0,"{'0': 1.0, '1': 0.0}",train,0
23,<user> <user> shut up and let george floyd be buried in Peace,5,0,"{'0': 0.8, '1': 0.2}",train,2
24,<user> Welcome to the white house Biden,5,0,"{'0': 1.0, '1': 0.0}",train,0
25,"And now they ain’t talking the coronavirus, just like that 👀🤭",5,0,"{'0': 1.0, '1': 0.0}",train,0
26,not people promoting their fancams under this... y’all are so rude,5,0,"{'0': 1.0, '1': 0.0}",train,0
27,...waiting for anonymous to come out and surprise us with new unknown info.... 🌝👀 #6thjune <url> ,5,0,"{'0': 1.0, '1': 0.0}",train,0
28,"<user> You are a dull dimwit!! And no, your covid is over for Hurricane Laura evacuees in Louisiana. No one cares about you and your evacuee partner Biden!!! Biden is a permanent evacuee!",5,1,"{'0': 0.2, '1': 0.8}",train,2
29,"<user> Got caught lyin before and he hasn't stopped...<user> ,you are a #lyindementiafacedscandalousponysoldier",5,1,"{'0': 0.2, '1': 0.8}",train,2
30,How to lose an election <url>,5,0,"{'0': 1.0, '1': 0.0}",train,0
31,<user> <user> <user> You’re a buffoon,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
32,"<user> <user> <user> Hurts Whites to see our fellow Americans hurting, we want the best for ALL citizens! This is the media and politicians preying on emotions!  I think George Floyd death is more about Dirty cop than race since they worked together at Night Club, I would bet Floyd had dirt on cop",5,0,"{'0': 1.0, '1': 0.0}",train,0
33,"If you love cats. If you have lost a cat. If you are just a decent person. Please consider supporting Cats Haven. They’re a no-kill shelter for damaged, elderly &amp; broken kitties. We got our Gitzo there 8 years ago. They’re struggling because of the Covid. <url>",5,0,"{'0': 1.0, '1': 0.0}",train,0
34,"<user> <user> shut up, first y’all call us aliens and r*pist. WE DONT WANT YALL",5,1,"{'0': 0.2, '1': 0.8}",train,2
35,Police Officers..You are not above the law!  I REPEAT!  YOU ARE NOT ABOVE THE LAW!  To the A-Hole Officers:  Stop inciting violence. You are just as bad as the looters.  I take that back...You are WORSE...far far worse.  #BlueLivesMatter  #BlackLivesMatter  #whitelivesmattermore,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
36,<user> Take your 'Virus' lies and Stick em'.,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
37,<user> <user> This guy is a troll,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
38,"<user> <user> <user> <user> <user> I mean, Trump retweets White Power videos, retweets well-known white supremacists, and invites the Confederate flag to his rallies but you don’t seem to mind that at all? #Cult45🤪",5,0,"{'0': 0.8, '1': 0.2}",train,2
39,Daily positive test rate of *19.7%*.  Holy crap.,5,0,"{'0': 1.0, '1': 0.0}",train,0
40,<user> <user> <user> <user> <user> The moment you read ChampagneSane’s latest tweet about you dad ass. 💕 <url>,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
41,"No, trump cannot develop empathy. He is a sociopath. But he can pretend he is fighting for us when he is battling Covid-19 himself, getting the best medical care available while millions are going to lose their healthcare because of trump. #SaveACA  #TrumpVirusDeathToll210K <url>",5,1,"{'0': 0.2, '1': 0.8}",train,2
42,This is why I fuck with SF/BayArea we will ALWAYS fight &amp; stand up for what’s right! That’s on GOD!!!!! 🖤🖤🖤 #BLM #BlackLivesMatter #sfprotest,5,1,"{'0': 0.2, '1': 0.8}",train,2
43,What bull shit #VoteRedToSaveAmerica,5,1,"{'0': 0.0, '1': 1.0}",train,0
44,<user> <user> so you want the us to be sick and weak.. yikes thats so patriotic of you huh,5,0,"{'0': 0.8, '1': 0.2}",train,2
45,OFFICIAL Gianna Floyd Fund (George Floyd's child) #GeorgeFloyd #HerDaddyChangedTheWorld  <url> ,5,0,"{'0': 1.0, '1': 0.0}",train,0
46,<user> <user> <user> <user> <user> <user> <user> Because you're a moron,5,1,"{'0': 0.2, '1': 0.8}",train,2
47,<user> <user> <user> <user> That's not what President Trump paid in taxes-Fake News!,5,0,"{'0': 1.0, '1': 0.0}",train,0
48,"<user> <user> <user> Manipulate this, bot.  And also I’m blocking your troll a** <url>",5,1,"{'0': 0.0, '1': 1.0}",train,0
49,"<user> <user> This clown has been spreading more than COVID-19, but whatever is spewing from his mouth, we all know #TrumpIsPatientZero",5,0,"{'0': 0.8, '1': 0.2}",train,2
50,Trump Waited a Whole Week Before Blaming the Coronavirus on Obama   Vanity Fair <url>,5,0,"{'0': 0.8, '1': 0.2}",train,2
51,Why i HATE big pharma,5,0,"{'0': 1.0, '1': 0.0}",train,0
52,<user> <user> <user> As a progressive I hate to tell you that it wouldn't have changed one bit.,5,0,"{'0': 1.0, '1': 0.0}",train,0
53,"<user> As mom of 3 boys...the message is loud&amp;clear! Police murdered George Floyd! If that were my son I would move the earth to seek justice and change!!! I FEEL GUTTED! I AM SICK ABOUT THIS! I Now that I see, know I mourn in SOLIDARITY!! #JusticeForGeorgeFloyd",5,0,"{'0': 1.0, '1': 0.0}",train,0
54,Wow! Folks in London are running the cops off the block!  #BlackLivesMatter    <url>,5,0,"{'0': 1.0, '1': 0.0}",train,0
55,STOP SCROLLING   his name was George Floyd and he couldn’t breathe. we need justice. #BlackLivesMatter <url>,5,0,"{'0': 1.0, '1': 0.0}",train,0
56,He was also murdered. Most people agree Paul. It’s the fucking up enire communities that’s a problem. Also white liberal Antifa riding on our black youths backs to use them as an excuse is terrible. <url>,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
57,"Karen, shut up. Trump is the sore loser",5,1,"{'0': 0.2, '1': 0.8}",train,2
58,A damn beautiful force of nature ✊🏽✊🏾✊🏿  #BreonnaTaylorWasMurdered #BlackLivesMattter,5,0,"{'0': 1.0, '1': 0.0}",train,0
59,<user> Did he wear black face for it? <user> <user> #BlackLivesMatter,5,0,"{'0': 0.8, '1': 0.2}",train,2
60,<user> <user> I am with you!,5,0,"{'0': 1.0, '1': 0.0}",train,0
61,Just stop. This isn’t about being grammatically correct. It’s about understanding that there are some things you can NEVER understand. Just shut up and help. Being better helps. Listening helps. Help. #BlackLivesMatter #WhiteLivesMatter #AllLivesMatter,5,0,"{'0': 1.0, '1': 0.0}",train,0
62,one of the only good things about this year is the string of humiliations it seems like 2020 is lining up for the dipshit in chief.,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
63,Please if u do not support the black lives Mather movement unfollow me now. Dont give me the all lives Mather reply. Yes off course they do but that’s not the point. #BlackLivesMatter <url>,5,0,"{'0': 0.8, '1': 0.2}",train,2
64,"<user> Dude, I freaking love you !!",5,0,"{'0': 1.0, '1': 0.0}",train,0
65,"We know, that's why a lot of people are getting ready to dump Facebook wholesale for being one of the very reasons we are even in this mess to begin with. They are- like Twitter itself- the super spreaders of right wing disinformation and lies.",5,0,"{'0': 1.0, '1': 0.0}",train,0
66,Biden the liar…still <url>,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
67,<user> <user> If you don't like dogs there is something seriously wrong with you imo.,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
68,Scenes on Bay Bridge. #BlackLivesMatter    <url> ,5,0,"{'0': 1.0, '1': 0.0}",train,0
69,<user> <user> <user> <user> They go hand-in-hand. Even now Chauvin’s fellow cops are saying he should be reinstated. Do a little light reading on Minneapolis’ third precinct.,5,0,"{'0': 1.0, '1': 0.0}",train,0
70,<user> <user> He was pressing Obama for his,5,0,"{'0': 1.0, '1': 0.0}",train,0
71,<user> <user> <user> Did <user> condemn Antifa?,5,0,"{'0': 0.8, '1': 0.2}",train,2
72,"<user> Unless your able to travel into an alternate reality where Biden was president instead of Trump during COVID-19, you will never know how many deaths would have been under Biden. Nice try using 227k deaths as a political tool, you pathetic twat.",5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
73,"Watch this!! If Rayshard deserved to die because he pointed a taser at police, should non-violent protesters be allowed to shoot police who injured them with tear gas and rubber bullets? #RayshardBrooks #BlackLivesMatter #BLACK_LIVES_MATTER #NoJusticeNoPeace",5,0,"{'0': 1.0, '1': 0.0}",train,0
74,"We need to be aware and concerned, acting with the mitigation measures known to science to WORK.   I really wish people weren’t assholes on the internet - especially COVID-deniers.   It helps nobody.",5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
75,Just gonna sit this here #BLM #BlackLivesMatter <url>,5,0,"{'0': 1.0, '1': 0.0}",train,0
76,"Intercede for Susan Osborn and her autistic son Noah, 17, whom she hasn't seen since March 9 because he's in a Covid-19 locked-down institution. READ THE ARTICLE: <url> <url>",5,0,"{'0': 1.0, '1': 0.0}",train,0
77,You are a damn hero - and we will support you <user> John Boyega George Floyd protest London speech in full: Star Wars actor'... <url> via <user>,5,0,"{'0': 1.0, '1': 0.0}",train,0
78,This is the fucking problem... idiots who are not even black doing dumb shit and putting the blame on POC. Black lives matter &amp; THEY CAN PROTEST/RIOT &amp; EXPRESS THEMSELVES HOW THEY SEE FIT. If your gonna protest have balls and stand with it.,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
79,<user> Just another one of your many lies. The House passed a bill weeks ago for covid 19 economic relief and it has just SAT on McConnell's desk. He and the Republicans are to blame NOT the Democrats.,5,0,"{'0': 0.8, '1': 0.2}",train,2
80,"What a joke, Trump speaks for the first time in days and says nothing but the recycled shit that he’s been spewing for months. Mentioned George Floyd once saying it was a great day for George, how’s that, George is dead, there will be no more great days for",5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
81,"<user> Science, like a baby in the womb is a actual human being? Because that’s what science says..... or when a male is born with a dick, he’s a male and not a female. That science?? Or is there another science I don’t know about you corrupt hack.",5,1,"{'0': 0.2, '1': 0.8}",train,2
82,America NOW knows the TRUTH from the interview on <user> about lying <user> The fake news media will not report the FACTS! <user> <user> <user>  <user> <user> <user> <user> <user> <user> <user> <user>,5,0,"{'0': 0.8, '1': 0.2}",train,2
83,"""If you still can vote for this lying clown then invite me over for some nut kicking  """"Rochambeau."""" I'll go first because it's obvious that #MAGA2020 enjoy getting their groins demolished...""",5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
84,<user> By cheating. That's the only way.,5,0,"{'0': 0.8, '1': 0.2}",train,2
85,Lol remember at the beginning of Covid when I thought we still would get two nights of Slander at Mission in May 😂,5,0,"{'0': 1.0, '1': 0.0}",train,0
86,<user> <user> Isn't Oprah a child trafficker? What happened at her girls school in Africa? She's really chummy with Weinstein. Makes me wonder 🤔,5,1,"{'0': 0.2, '1': 0.8}",train,2
87,"Yeah, this is sick.   Not sic.   Sick.",5,0,"{'0': 1.0, '1': 0.0}",train,0
88,Remember <user> wants to keep abortion but would ban straws and limit the amount of red meat we can eat if she had her way.    #LiberalLunacy,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
89,"<user> <user> Pence won't simply get ""Drag"" but ""Dug and Buried"" with no explaining themselves out from this four-year hell his boss(senate republicans also) put our country in of their own arrogant and dangerous making.. #KamalaHarris",5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
90,the new green deal is such bs. Way too expensive. america is already in debt from covid and dumbass biden wants to pull 100 trillion out of our asses. The american dollar will be lose its value.,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
91,AGAIN why schools should not be opened! If the school officials are doing Zoom meetings to see if schools should be back in session then the children and teachers shouldn’t be back in the classroom doing face-to-face meetings. Common fucking sense honestly.,5,1,"{'0': 0.0, '1': 1.0}",train,0
92,<user> <user> <user> Chris Wallace is a horrible debate moderator. Debates need someone who has a level head <user>,5,0,"{'0': 0.8, '1': 0.2}",train,2
93,Video would’ve been 20 secs 🤦🏽‍♂️,5,0,"{'0': 1.0, '1': 0.0}",train,0
94,I am black first. I am a black cosplayer second.  And #blacklivesmatter,5,0,"{'0': 0.8, '1': 0.2}",train,2
95,These people are ghouls. Absolute ghouls,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
96,<user> <user> <user> <user> <user> girl please shut up,5,1,"{'0': 0.2, '1': 0.8}",train,2
97,we need a president to stop this!!,5,0,"{'0': 1.0, '1': 0.0}",train,0
98,"<user> <user> Dude. Not masks alone we need to act like we're Covid positive already - social distancing, washing hands constantly, avoiding crowds and public restrooms. Everyone else is getting back to somewhat normal life and you dicks are going to keep us infected forever.",5,1,"{'0': 0.2, '1': 0.8}",train,2
99,NFL is going to end up the same way if they don't get their shit together.,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
100,The race hustle is a game of great antiquity.,5,0,"{'0': 0.8, '1': 0.2}",train,2
101,Hey!  <user> Can you settle an argument for us?  What the heck is this?👇👇👇👇👇,5,0,"{'0': 0.8, '1': 0.2}",train,2
102,<user> Joe u were lying the whole time smh trump 2020,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
103,"We are all same  ""I can't breath""-George Floyd  Respect yourself, Respect your family, Respect your community, Respect human can save mankind.  #Positive #Thought #Motivation #attitude #builders  #Think #influence <url> ",5,0,"{'0': 1.0, '1': 0.0}",train,0
104,"""Go to hell and get a job"":  Tommy Tuberville is fired up after beating Doug Jones in Alabama's U.S. Senate election <url>  #ElectionNight #Elections2020 <user> <url>",5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
105,that's a madcow for you,5,0,"{'0': 1.0, '1': 0.0}",train,0
106,<user> <user> Thank you for your hate.  I am sorry for you and your hate that this world is trying to heal in the name of George Floyd and yet you use hate as a weapon!  Love you anyway!,5,0,"{'0': 1.0, '1': 0.0}",train,0
107,Trump declares himself 'immune' to Covid-19. His doctors won't say when he last tested negative.: <url> via <user>,5,0,"{'0': 1.0, '1': 0.0}",train,0
108,<user> <user> These are all of the black men you arrested for non-violent crimes. You are a shameful and dishonest person. You are anti-science and think there are 52 genders. Something is not right in your mind and you have no morals and performed orals on Willie Brown #KamalaHarris #Biden <url>,5,1,"{'0': 0.2, '1': 0.8}",train,2
109,"Breaking News: NCHSAA ends coronavirus dead period, high school sports resume with restrictions June 15 <url>",5,0,"{'0': 1.0, '1': 0.0}",train,0
110,Wow omg 😱😱,5,0,"{'0': 1.0, '1': 0.0}",train,0
111,"So this racist, soulless mother fucker knew exactly how deadly #COVID was &amp; simply decided that it didn’t help him? 190,000 ppl dead &amp; most of this could have been mitigated? Seriously? <user> you have blood on your hands. None of this had to happen",5,1,"{'0': 0.0, '1': 1.0}",train,0
112,"I grew up in South Auckland.  My last year at school, if I wagged, there was no chance of getting stopped by the cops. But Māori kids were. A lot. Why? These kids weren’t inherently bad, like I sure as hell was not an angel. So what was the difference?🤔 <url>",5,0,"{'0': 1.0, '1': 0.0}",train,0
113,RIP Philadelphia when the sun goes down tonight.,5,0,"{'0': 0.8, '1': 0.2}",train,2
114,<user> Who’s ever running this account needs to be fired this is some brutally bad stuff.,5,1,"{'0': 0.0, '1': 1.0}",train,0
115,<user> Drop dead you phucking criminal.,5,1,"{'0': 0.0, '1': 1.0}",train,0
116,Hey <user> not everything is about you and your garbage family,5,1,"{'0': 0.2, '1': 0.8}",train,2
117,Hey stupids if you don't like the United States you are FREE to leave and live anywhere you want...,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
118,"The decision to start temperature testing seems such a no-brainer that, of all the accusations that can be levelled at the handling of this pandemic, I feel this one stands alone as the biggest cock up to date. #Coronavirus <url>",5,1,"{'0': 0.2, '1': 0.8}",train,2
119,"<user> <user> <user> 7,800 Americans die per day... you don’t care about the other 7,000 I see",5,0,"{'0': 1.0, '1': 0.0}",train,0
120,Does this mask make my face look fat? #COVID19 #faceisthenewbutt #MaskUp <url>,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
121,Seriously? What an idiot. 🙄🙄🙄 he’s now politicizing wearing a mask??? Hasn’t he killed enough people with his ignorance? <url>,5,1,"{'0': 0.2, '1': 0.8}",train,2
122,I had to educate my brother who said the #BlackLivesMatter is a democratic ploy. FUCK THAT! They are us. We are theme educate your family and the people around you.,5,1,"{'0': 0.2, '1': 0.8}",train,2
123,"If #BlackLivesMatter want a race war, I'll attend every ficking battle. One of our lads has had his throat slit in the riots in London. BLM, you've raised race tensions on a scale never seen before.   What is your goal?",5,1,"{'0': 0.0, '1': 1.0}",train,0
124,Debunked NUMEROUS times!,5,0,"{'0': 0.8, '1': 0.2}",train,2
125,<user> Pray for a national response to Covid. Pray for police not to shoot black people in the back. Pray for the kids kept in cages.,5,0,"{'0': 0.8, '1': 0.2}",train,2
126,Night Rogue has a message ✊🏿✊🏿 #blacklivesmatter <url>,5,0,"{'0': 1.0, '1': 0.0}",train,0
127,"<user> <user> <user> And the 4 policemen were arrested and charged as per the law. George Floyd tried to use counterfeit money. He has a rap sheet as long as your arm and held a gun to a pregant womans belly while his 4 ""pals'"" raided her house. A saint he aint!",5,0,"{'0': 0.8, '1': 0.2}",train,2
128,boy FUCK you,5,1,"{'0': 0.2, '1': 0.8}",train,2
129,Minneapolis City Council Unanimously Votes For Community-Based ‘Alternatives to Policing’ <url> ,5,0,"{'0': 1.0, '1': 0.0}",train,0
130,Who said trump was in his right mind?,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
131,We really gotta get rid of the electoral college.,5,0,"{'0': 1.0, '1': 0.0}",train,0
132,"populations live in crowded spaces, sometimes against their will, and are often more likely to be killed by the virus.  <url>",5,0,"{'0': 1.0, '1': 0.0}",train,0
133,Super Spreader Trump <url>,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
134,BICTH and? what's that gonna do now?,5,1,"{'0': 0.2, '1': 0.8}",train,2
135,😭😭😭😭😭 this why trump gonna win again.,5,0,"{'0': 1.0, '1': 0.0}",train,0
136,I hate that society has taught us to view incarcerated people as less than the second they enter prison. There are so many flaws in the judicial system that put many people here for bullshit reasons.,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
137,"<user> and <user> look like two morons verbally masturbating-they talk only to hear themselves sound important..ok..well maybe they also want the fat man in the oval office to hear too. They sound moronic and foolish, how do advertisers support this crap Judge?",5,1,"{'0': 0.0, '1': 1.0}",train,0
138,Covid test should be free......How tf isnt this basic public health advice???  Like this isn’t that fucking hard.,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
139,Boycott #RuthsChris &amp; all of these companies. This is American Greed! <user> <user> <user>,5,0,"{'0': 1.0, '1': 0.0}",train,0
140,<user> <user> <user> <user> <user> Foolishness?,5,0,"{'0': 0.8, '1': 0.2}",train,2
141,<user> <user> TRUMP GOT UNDER BIDENS SKIN IT WAS OBVIOUS HE KEPT SAYING SHUT UP AND RASCIST AND CLOWN😆 EXTREMELY UNPRESIDENTIAL,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
142,"200,000 Americans have died from #coronavirus because of <user> failed responses and he’s acting like he’s on his reality game show.",5,0,"{'0': 0.8, '1': 0.2}",train,2
143,Saw this on TV this morning.,5,0,"{'0': 1.0, '1': 0.0}",train,0
144,And this is the bullshit that #FoxNews promotes to the #MAGA about #JoeBiden and the #Democratic agenda  My question: WHY is #DonaldTrumpJr talking like an advisor of politics ?🤔  Isn't he supposed to be separate from his father #Trump in the WH while running the family business,5,1,"{'0': 0.2, '1': 0.8}",train,2
145,"<user> <user> Trump cheated on all his wives, <user> while she was pregnant &amp; nursing Barron. Cheated his brothers, sister &amp; niece of his father's estate. Cheated USA of federal taxes. Caged little children &amp; separated them from parents. Why would anyone want to reward a CHEATER IN CHIEF?<user>",5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
146,It’s one thing to be silent it’s another thing to be silent for so long and when you finally speak your speaking on the looting instead of George Floyd. Pathetic af.,5,0,"{'0': 0.8, '1': 0.2}",train,2
147,After this COVID shit Netflix gonna keep buying up these movie theaters. They trying to make that Amazon money 💰,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
148,"These ‘we need them for education!’ arguments can get in the drink because I had no idea who this guy was and that statue’s been there for yonks. Sounds like a racist, money-grabbing wanker. Again, the removal provides the education. #blm <url>",5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
149,"Bernie sanders predicted this, now trump wants to stop all vote counts... this is fucking insane #Elections2020  #2020Election  <url>",5,0,"{'0': 0.8, '1': 0.2}",train,2
150,This is an example; of showing love and care,5,0,"{'0': 1.0, '1': 0.0}",train,0
151,"<user> <user> <user> I'm not convinced any of you dipshits know what the word Socialism means, it's just a big scary buzzword you've been taught to be afraid of.",5,1,"{'0': 0.2, '1': 0.8}",train,2
152,<user> <user> <user> Both the officers who murdered George Floyd and the violent rioters who are endangering thousands of lives need to be arrested IMMEDIATELY.,5,0,"{'0': 1.0, '1': 0.0}",train,0
153,The way I would’ve made my dog tear his ass up! In front of my house with all that noise for a damn windshield,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
154,You are a hyprocrite. You don’t want George Floyd to have died in vain? Arrest and condemn his MURDERERS. You want his memory to be respected? Do something about the racism and police brutality ongoing in your country. <url>,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
155,<user> Fulla crap sleepy joe,5,1,"{'0': 0.0, '1': 1.0}",train,0
156,"<user> <user> I love seeing trump lose, it's my daily medicine, my weekly energy, my monthly inspiration and my yearly motivation. his loss is the only reason i'm still alive, i was born to love and enjoy the unsuccess that he has achieved 😋😍",5,0,"{'0': 0.8, '1': 0.2}",train,2
157,"<user> No one has been more wrong, more often than Trump. He DIDN’T win against Covid. He’s the only president to have been impeached, since Nixon. He’s got no business acumen at all. His entire family are scum who operate more like a Mafia family, and he’s a bigot and a racist.",5,1,"{'0': 0.0, '1': 1.0}",train,0
158,"<user> <user> <user> <user> <user> You can’t be serious. I’m not part of some ""Army"" if I was wouldn’t be laboring to attempt you to see how ridiculously flawed your defenses are Again, no one knows either way about the stutter however there are clear signs of decline which can be expected from an elderly citizen",5,0,"{'0': 0.8, '1': 0.2}",train,2
159,the way these cops shouldn’t even have a fucking bail.. #BlackLivesMatter,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
160,HE SHOULD GET NOTHING FOR WHAT HE DID.,5,0,"{'0': 1.0, '1': 0.0}",train,0
161,<user> And yet you are running with a man you’ve described as racist,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
162,Holy fuck...  😳   #CoronaOutbreak #COVIDー19 <url>,5,1,"{'0': 0.2, '1': 0.8}",train,2
163,"MSM headlines expose systematic racism &amp;cover up of evil agenda:  Headlines that more blacks r dying of #COVID19 targets  Headline that more elderly are dying was followed by WHO &amp;govts neglect of elderly,denied of care &amp; murdered  Like they did with elderly,they r killing blacks <url>",5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
164,This guy needs to GO AWAY. <url>,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
165,can you believe the shittery from this asshole,5,1,"{'0': 0.0, '1': 1.0}",train,0
166,<user> especally the phony,5,0,"{'0': 1.0, '1': 0.0}",train,0
167,He never will and <user>  enabling murder of Americans,5,0,"{'0': 1.0, '1': 0.0}",train,0
168,<user> Only when he closes his mouth.,5,0,"{'0': 1.0, '1': 0.0}",train,0
169,"These guys will make up stuff just so they can prove a point, like Trump, nobody believes a word they say because they’re all dishonest.",5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
170,"The Choice Was Clear...  Either Stand For What's Right....  Or please 45, I Have No Sympathy For These People.  #BlackLivesMatter <url>",5,0,"{'0': 0.8, '1': 0.2}",train,2
171,Don't let Stonewall go under! #LGBTQCommunity <url>,5,0,"{'0': 1.0, '1': 0.0}",train,0
172,"<user> Has to be George Floyd, surely? Anyone objecting shows themselves as a racist.",5,0,"{'0': 1.0, '1': 0.0}",train,0
173,From world-beating to beaten by the rest of the world. This is a shambles. <url>,5,0,"{'0': 0.8, '1': 0.2}",train,2
174,<user> was today years old when they figured out the confederate flag was a racist symbol. 6/10/20 #BlackLivesMatter <url>,5,0,"{'0': 1.0, '1': 0.0}",train,0
175,penis fingers...,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
176,"<user> <user> <user> I loved the contrast of Biden laughing at Trump, and Trump making that puckered asshole face he likes to make with his mouth.",5,1,"{'0': 0.2, '1': 0.8}",train,2
