,text,number of annotations,hard_label,soft_label,split,disagreement_lev
34,"If you voted to #Remain, by definition you are a terrorist and ally of ISIS.

#LeaveWins #Brexit 🇬🇧🇬🇧🇬🇧",6,0,"{'0': 0.67, '1': 0.33}",train,2
35,"They have a fucking Muslim mayor.
Thankfully the sane #Brits elsewhere voted #Brexit! Yay 🇬🇧
#MakeAmericaGreatAgain <url>",6,1,"{'0': 0.33, '1': 0.67}",train,2
36,Pakistan will make it into another Jihadi cesspool like Afghanistan. No more land to Islamic states <url>,6,0,"{'0': 0.67, '1': 0.33}",train,2
37,"<user> 
#Brexit wants to deport Brits?
#EURefResults",6,0,"{'0': 1.0, '1': 0.0}",train,0
38,"<user>  C'mon   Work week in the world winners were Hillary, O, and Kerry #brexit Consequence of terrible foreign policy #isis #syria",6,0,"{'0': 1.0, '1': 0.0}",train,0
39,The British and coming! The British are coming...to wreck the global economy and spread xenophobic anti-immigrant propaganda! #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
40,Another #brexit debate on <user> another drinking game! Drink everytime they mention immigration or <user> tells someone off,6,0,"{'0': 1.0, '1': 0.0}",train,0
41,"#Trump has absolutely no clue about foreign affairs, world issues or anything beyond his (often failed) businesses <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
42,Breaking: #Merkel has to cancel reservations for her Muslim refugees bc of the pending #Brexit Vote.EU members step up &amp;roll the red carpet,6,0,"{'0': 1.0, '1': 0.0}",train,0
43,Experts should question UN and BBC: CONSTANTLY pushed Brits/Europe to take MORE migrants... ignoring rich Muslim Nations take none. #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
44,All this focus on immigration watch how they distract us with It and quietly privatise the NHS! #EURefResults #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
45,"When the best foreign talent of football players can't come to <user> and your teams are doing shit, who u gonna blame? #Brexit",6,0,"{'0': 1.0, '1': 0.0}",train,0
46,The EU is a disaster!  Fuhrer Merkel is evil and Islam is the cancer of the world! Glad you voted out! #Brexit,6,1,"{'0': 0.33, '1': 0.67}",train,2
47,"Justifiable anti-immigration sentiment in the UK may go along with a rejection of ""globalism."" <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
48,so equal pay for women would have stopped fears of immigration #brexit #zimmer conflation,6,0,"{'0': 1.0, '1': 0.0}",train,0
49,"Well he's a fave with the Drs why not start on the 150,000+ immigrant nurses we have.. #Brexit #immigration #NHS  <url>",6,0,"{'0': 0.8300000000000001, '1': 0.17}",train,2
50,"RT: ggreenwald: RT pwnallthethings: Why did Brits vote #Brexit?
49%: Principle of sovereignty
33%: Immigration / b… <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
51,Austerity brings Cameron down. But the working class of Britain has been led to believe that immigration took their money. #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
52,"RT <user>: #Brexit, AKA when ur centuries of colonialization lead to power vacuums, terrorist regimes, and millions of displaced persons,…",6,0,"{'0': 1.0, '1': 0.0}",train,0
53,Wow! I feel so bad for those who wanted to be free and now will be Islam shoved down their throats <url>,6,0,"{'0': 0.5, '1': 0.5}",train,1
54,#Brexit is terrifying and we need a leader experienced in foreign policy #HillaryClinton,6,0,"{'0': 1.0, '1': 0.0}",train,0
55,.<user> <user> <user> 2 main causes of #Brexit: Immigration &amp; sick of political establishment. Seems like USA. We need #Trump.,6,0,"{'0': 1.0, '1': 0.0}",train,0
56,#Brexit will mean a relaxation on the tough immigration policies aimed towards NonEU migrants.....Nope (3,6,0,"{'0': 1.0, '1': 0.0}",train,0
57,<user> ha! Was just saying that to <user> cabin crew on my flt to Berlin. They are split 50-50 on #Brexit. Immigration the issue.,6,0,"{'0': 1.0, '1': 0.0}",train,0
58,UK is the 5th largest economy-- wanted sovereignty back. Tired of stupid immigration and paying for others to ride on their success. #Brexit,6,0,"{'0': 0.8300000000000001, '1': 0.17}",train,2
59,"What is the EU?
Why The Migrant Invasion of Europe?
""induced dissolution of the European White race""
#Brexit #EUref 
<url>",6,0,"{'0': 0.67, '1': 0.33}",train,2
60,<user> made a statement about Britain having to re-establish who their terrorist are. They don't know who's killing? #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
61,RT <user>: Anti-immigrant Rebel TV uses Kenney as a punching bag. Too bad he is so naive to participate. <user> <user> #cdn…,6,0,"{'0': 1.0, '1': 0.0}",train,0
62,"Make no mistake, the #Brexit LEAVE result means no more Muslims &amp; Black African immigration to the UK. The British will retain their culture",6,0,"{'0': 0.8300000000000001, '1': 0.17}",train,2
63,"Post #Brexit threat. European countries lose give up all control to EU, no armies, no immigration controls, nothing. <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
64,"<user> Oh sure, he's very Pro-LGBT. Nevermind the Radicalized refugees he lets in that wants LGBT dead. <url>",6,0,"{'0': 0.67, '1': 0.33}",train,2
65,#WakeUpAmerica These are verses in the Quran does this sound peaceful to you? #BanIslam #BanShariaLaw #Brexit #MAGA  <url>,6,1,"{'0': 0.0, '1': 1.0}",train,0
66,"David Cameron’s fatal mistakes on immigration threatens our country’s future
Dangers of #Brexit &amp; we'll pay
#EUref 
<url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
67,Teens on Tram Seen on Video Hurling Anti-Immigrant Abuse <url> #Brexit,6,0,"{'0': 0.8300000000000001, '1': 0.17}",train,2
68,RT <user>: #IslamIsTheProblem. Islam is a disgrace! This is not a religion it's a cult! #banMuslims  <url>,6,1,"{'0': 0.17, '1': 0.8300000000000001}",train,2
69,"So apparently the UK have shut their borders. We've been told we can stay here in Malta, at least until they send a refugee boat. #Brexit",6,0,"{'0': 1.0, '1': 0.0}",train,0
70,"Ours is a nation of immigrants, I will also not stand for the hypocrisy of anti-immigration sentiment. <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
71,What doesn't make sense how some people blaming #Syrian refugees for #brexit when #uk has only taken only a few hundred. #shameful,6,0,"{'0': 1.0, '1': 0.0}",train,0
72,One vote in 41 years on being ruled by a foreign power or not! #Brexit <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
73,The great irony is that our ageing population means we'll have to boost immigration in the coming years and decade #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
74,RT <user>: Husband was singled out for a thorough search at French customs and immigration after showing UK passport. Welcome to the fu…,6,0,"{'0': 1.0, '1': 0.0}",train,0
75,"The same way it took foreign historians to write about Vichy France &amp; Petain, it will take foreigners to understand #brexit #tooclosetohome",6,0,"{'0': 1.0, '1': 0.0}",train,0
76,"People think that immigration was the most significant factor in #Brexit, I would argue that it was ignorance!",6,0,"{'0': 1.0, '1': 0.0}",train,0
77,"Retweeted Debola Debbie Debs! (<user>:

After UK did a #Brexit, Netherlands anti-immigration politician... <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
78,Sure: #Poles #EU #Syria refugees <user> <user> to blame for misleading the best of all electorates <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
79,"2008 govmts were financially bankrupt, now also morally
#brexit is about unpayable debt, looted immigrant countries
Still no bankers in jail",6,0,"{'0': 1.0, '1': 0.0}",train,0
80,The immigration lie that gave us Brexit. <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
81,Hope they deport London Mayor w the rest of Muslim scum. <url>,6,1,"{'0': 0.17, '1': 0.8300000000000001}",train,2
82,RT <user>: PM says immigration was the biggest contributing factor in #brexit.,6,0,"{'0': 1.0, '1': 0.0}",train,0
83,"Filipinos who don't think #Brexit has an effect on our country: The UK is one of our biggest foreign (direct) investors. Third, I think.",6,0,"{'0': 1.0, '1': 0.0}",train,0
84,"#Omani foreign ministry describes #Brexit as ""brave &amp; historical"" and commentators say #Oman is planning to exit #GCC",6,0,"{'0': 1.0, '1': 0.0}",train,0
85,<user> To say #Brexit was only about immigration is like saying our Civil War was only about slavery--it was about more than that!/5,6,0,"{'0': 1.0, '1': 0.0}",train,0
86,<user>  Diversity? Seen one Muslim you seen em all! #Brexit #MAGA <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
87,"RT <user>: The fact that Islam is so mad about #brexit 
should be an eye opener to Brits on how bad you stumped their invasion.",6,0,"{'0': 0.5, '1': 0.5}",train,1
88,A significant day to be discussing foreign policy and #Brexit with former Secretary of State Henry Kissinger. <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
89,Incredibly sad to hear reports of rising racist &amp; anti-immigrant attacks post #brexit Miss diversity &amp; multiculturalism of my London youth,6,0,"{'0': 1.0, '1': 0.0}",train,0
90,Donald Trump insists #Brexit will make Britain great again discussing immigration impact | Daily Mail Online <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
91,<user>  blame Muslim for #brexit hypocrisy.,6,0,"{'0': 0.67, '1': 0.33}",train,2
92,<user> Question: what's your take on the role anti-immigration had in #Brexit? Immigrant backlash seems like a win for terrorists.,6,0,"{'0': 1.0, '1': 0.0}",train,0
93,RT <user>: 😭😭😭😭😭😭😭😭😭😭😭 #ausvotes #auspol RT <user>: John Howard says the immigration debate in Britain was in no way racist…,6,0,"{'0': 1.0, '1': 0.0}",train,0
94,"The same anti-women, anti-black, anti-immigrant political rhetoric that won the #Brexit vote could win here <user> #WAMNYC",6,0,"{'0': 0.8300000000000001, '1': 0.17}",train,2
95,First time Britain has left a foreign land of their own accord then - only took us 800 years to shift them. #Brexit #EURefResults #EUref,6,0,"{'0': 1.0, '1': 0.0}",train,0
96,"I bet Hogwarts School of Witchcraft &amp; Wizardry will stop taking students from foreign countries too...
#discrimination #Brexit #Done",6,0,"{'0': 1.0, '1': 0.0}",train,0
97,"Brexit is probably the last thing a humane and efficient management of the Refugee Crisis needed
#RefugeeCrisis #Brexit",6,0,"{'0': 1.0, '1': 0.0}",train,0
98,Just a thought: Net migration is currently the same as the population of Iceland. #Brexit #ENGICE,6,0,"{'0': 1.0, '1': 0.0}",train,0
99,"Don't wanna b tricked into white genocide and live like commies 2serve so called Jewish evil master race, thank you😊 <url>",6,1,"{'0': 0.5, '1': 0.5}",train,1
100,#IVotedLeave because there are no upper limits to immigration numbers if we remain #brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
101,"Well done <user> &amp; <user> #Brexit send Brits to back of immigration Q. Commonwealth vs EU: visas, work-permits admin cost! #R4",6,0,"{'0': 1.0, '1': 0.0}",train,0
102,Think <user> right: emergency break immigration brake + UK stays in single market most likely #Brexit fudge <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
103,RT <user>: Congratulations to Britain! #Brexit a repudiation of global cabals and mass immigration. Merkel can keep her Muzzies <url>,6,0,"{'0': 0.8300000000000001, '1': 0.17}",train,2
104,Why #Brexit is such an important first step in ending the ugly tyranny of Islam Top cleric: Kill all who leave Islam <url>,6,1,"{'0': 0.33, '1': 0.67}",train,2
105,"Thanks to Merkel, Germany destined to become a muslim country ruled by Sharia Law
#Brexit was wise to leave <url>",6,0,"{'0': 0.67, '1': 0.33}",train,2
106,I am sure HRC and Obama Bin Lying can put a good spin on it! Looking 4 underwater route 4 illegals maybe? <url>,6,0,"{'0': 0.67, '1': 0.33}",train,2
107,"<user> Yep.....let's see how they handle that. Maybe with the same geniality as they did with the refugee and economic crisis

#BREXIT",6,0,"{'0': 1.0, '1': 0.0}",train,0
108,"My lefty marxist cousin says he's going to Australia now because of #Brexit

You know the country with a points based immigration system :/",6,0,"{'0': 1.0, '1': 0.0}",train,0
109,I just find it inceedibly amusing that a country that invaded and colonised half the world is against immigration lol #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
110,"Leave voters have been lied to- &amp; they will be angry. Pro-brexit Tories are free-marketeers, not anti-immigration <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
111,"Police on now + we've got Foreigner (no #Brexit jokes please), Jack Johnson, No Doubt and OASIS before 8am! <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
112,"Workday 3 #Brexit let's recap. No money to NHS, no immigration control, sterling at $1.33 (31 yr low), bank, airlines &amp; property shares tank",6,0,"{'0': 1.0, '1': 0.0}",train,0
113,<user> <user> finding it hard to sympathise. Many voted on one issue: immigration &amp; didnt consider the wider impact of a #brexit vote,6,0,"{'0': 1.0, '1': 0.0}",train,0
114,"RT <user>: vote_leave: #VoteLeave today for a fairer, safer immigration system #TakeControl #IndependenceDay
<url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
115,"Shamelessly exploit fears/prejudice to win vote, now row back. Possibly because immigration is ESSENTIAL to UK <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
116,One possible upside of #Brexit. Can we deport that bloody irritating maitre'd off #firstdates?,6,1,"{'0': 0.5, '1': 0.5}",train,1
117,"RT <user>: The British spent hundreds of years forcing themselves into other countries, but are scared of political refugees coming to the…",6,0,"{'0': 1.0, '1': 0.0}",train,0
118,The Muslim ban is off (Today) &amp; the wall is 2 feet shorter than last week! Trump voters having buyers remorse like #Brexit voters! #inners,6,0,"{'0': 1.0, '1': 0.0}",train,0
119,Shocked by the covert racism revealed by many brexiteers. Seems immigration was driving force behind the decision to leave. Tragic #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
120,"RT <user>: #Putin will be feeling ""little less pressure"" &amp; more ""upbeat"" this morning,"" Foreign Sec. <user> says, <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
121,"This ""Muslim Ummah"" word echoes only in Pakistan. 53 Muslim countries including Saudi Arabia don't care about that.  <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
122,Austrian Foreign Minister calls for rapid changes in the EU <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
123,#Brexit  #Brexit #Brexit <user> will be the modern day Charles Martel come to purge the UK from the Muslim horde #Brexit,6,0,"{'0': 0.67, '1': 0.33}",train,2
124,To get the European market involves free movement of people. Can a single #leave voter explain how that will reduce immigration ? #brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
125,"<user> maybe they should host the UK Cup. No foreign nations can complete, and no immigrants can attend. #Brexit",6,0,"{'0': 1.0, '1': 0.0}",train,0
126,#Brexit UKIP MEP: Leave voters want control on immigration <url> via <user>,6,0,"{'0': 1.0, '1': 0.0}",train,0
127,RT <user>: Post #Brexit: Thousands of British refugees making dangerous journey across the Irish Sea <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
128,"<user> Yes, but is #Brexit not motivated in large part by anti-immigrant and anti-refugee sentiment?",6,0,"{'0': 1.0, '1': 0.0}",train,0
129,The only places that voted to stay in EU are the most Muslim pop #WakeUp ppl are sick of Muslim imm &amp; pop #Trump2016 <url>,6,0,"{'0': 0.67, '1': 0.33}",train,2
130,"#Brexit threatens UK political integrity ~ David Miliband, former UK foreign secretary <url>  <user> <user>",6,0,"{'0': 1.0, '1': 0.0}",train,0
131,"<user> Clearly Donald Trump's fault.  First he forces a muslim to kill gay Latinos in Orlando, then #Brexit, and now #Istanbul.",6,0,"{'0': 1.0, '1': 0.0}",train,0
132,<user> When English #brexit voters know he can't deliver on immigration they'll hate him as much as everyone else does,6,0,"{'0': 1.0, '1': 0.0}",train,0
133,"Dont see why immigration is a pre condition of trade. We seem to trade ok with US, China. Japan and Korea without it <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
134,"Retweeted MUSLIM PATROL (<user>:

#Brexit was not about racism 
Yeh
Right <url> <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
135,"'cuz hard-working Christian Eastern Europeans need to have solidarity with Muslim rapists &amp; welfare leeches
<url>",6,0,"{'0': 0.5, '1': 0.5}",train,1
136,UK #Brexit reps will consult Big Boss in USA first (US will forbid any UK foreign policy change on #Russia/#Syria (#CrossTalk #RT) #CapeTown,6,0,"{'0': 1.0, '1': 0.0}",train,0
137,The Irish voted for uncontrolled immigration but can't even get on with each other &amp; The Scots want to repoint Hadrian's Wall #brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
138,"Well done leave voters, that anti immigration vote to stop foreigners 'taking our jobs' is going swell! <url>",6,0,"{'0': 0.67, '1': 0.33}",train,2
139,It's an invasion of soldiers not a migration of refugees. <url>,6,0,"{'0': 0.67, '1': 0.33}",train,2
140,RT <user>: <user> <user> Absolute nonsense. #Brexit won because Britons are sick of being dictated to by a centralized foreign gov…,6,0,"{'0': 1.0, '1': 0.0}",train,0
141,"<user> <user>  London still has the muslim mayor. Get rid of him, and we'll come to visit. #Brexit",6,1,"{'0': 0.33, '1': 0.67}",train,2
142,"<user> 
#ICYMI 
#Sacramento is what happens, 
when Islamists join the Left !
Lets be Clear - 
THIS IS global JIHAD !
#ausvotes 
#Brexit",6,0,"{'0': 0.5, '1': 0.5}",train,1
143,RT <user>: #Brexit jewish inspired fear mongering on behalf of banks and wogs has failed. Unlimited immigration is not an option.,6,0,"{'0': 0.67, '1': 0.33}",train,2
144,Nazi Germany's Jewish problem was the Leave campaigns immigration trump card. Both were untrue but it didn't matter. #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
145,"""EU demands that GB allows freedom of movement""

Welp, so much for #Brexit slowing down immigration <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
146,"#Leave #Brexit don't just have immigration fears. They also have sovereignty, democracy, ECHR, ECJ, TTIP, and more Bail-out fears",6,0,"{'0': 1.0, '1': 0.0}",train,0
147,"#Brexit: EU foreign ministers urge speedy U.K. exit <url>
#BrexitVote #BrexitOrNot #BrexitScPo #EUref #EURefResults #Blog",6,0,"{'0': 1.0, '1': 0.0}",train,0
148,"""we can deport people"" what a great fucking way to deal with immigrants by ruining their whole life #Brexit <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
149,"Xenophobia doesn't apply AFTER you've experienced a foreign culture, only before.

#Brexit",6,0,"{'0': 1.0, '1': 0.0}",train,0
150,RT <user>: Curious that USA Supreme Court rebukes Obama attempt at illegal immigrant invasion on very same day as #Brexit . <url>,6,0,"{'0': 0.8300000000000001, '1': 0.17}",train,2
151,"One could have easily solved the 10 million Syrian refugees crisis for that amount of money.
<url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
152,#brexit somebody wake our dumb nigger up lets watch it mouth human speech #obama #lamadingdong,6,0,"{'0': 0.5, '1': 0.5}",train,1
153,"#Brexit RUN WHILE YOU STILL CAN! FASTER! So not kidding, that muslim mayor is going to tear the pleace down! <url>",6,0,"{'0': 0.67, '1': 0.33}",train,2
154,<user> <user> leave Islam to become a Kafir. Get killed. #Brexit #VoteLeave #Remain <url>,6,0,"{'0': 0.5, '1': 0.5}",train,1
155,The #Brexit backtracking begins. EU Immigration will be largely unchanged post exit <url>,6,0,"{'0': 0.67, '1': 0.33}",train,2
156,Here’s How the #Brexit Will Actually Work | Foreign Policy <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
157,Michael Gove sets up new law to thwart ‘rogue’ EU courts &amp; deport foreign criminals <url> #Brexit <url>,6,1,"{'0': 0.33, '1': 0.67}",train,2
158,.<user> London is the Muslim Brotherhood's Head Office..I wonder when they'll be given their walking papers. #Brexit <user>,6,1,"{'0': 0.5, '1': 0.5}",train,1
159,.<user> <user> The ingredients that caused #Brexit are the same ingredients Trump is riding. Anti-immigrant Patriotism.,6,0,"{'0': 1.0, '1': 0.0}",train,0
160,"I love that Faisal Islam is hecking cabinet members as they arrive. ""Do you have a #brexit plan?""",6,0,"{'0': 1.0, '1': 0.0}",train,0
161,Obama and HRC are partly to blame for #Brexit. Their Libyan policy created the disastrous mass immigration into Europe we are seeing now.,6,0,"{'0': 1.0, '1': 0.0}",train,0
162,"""Social Care for Older People and Demand for Migrant Workers"" aka ""Karma for Baby Boomers""  #Brexit <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
163,"Ironic that Immigration is the big issue for voters, because we've fucked up our country so much we'll struggle to attract them. #Brexit",6,0,"{'0': 1.0, '1': 0.0}",train,0
164,.<user> WRONG! Labour would have won the 2015 election if the issue was austerity. It was immigration post-2004 that caused #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
165,Love the American #liberals who tell Brits they voted wrong way on #Brexit. Mass migration doesn't hurt their bottom lines; it helps them.,6,0,"{'0': 1.0, '1': 0.0}",train,0
166,If you voted leave because immigration was an issue to you - listen to this... You may have been lied too... shock. <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
167,"<user> Opps. 
Time to kick Islam out of Britain | Free Britain #Brexit
<url>",6,1,"{'0': 0.0, '1': 1.0}",train,0
168,We so much terrorism the free movement across Europe is quite dangerous. UK gotta protect its people somehow. #EUref #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
169,So it turns out immigration will not be controlled Hshahaha #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
170,"There are 8lk Gujjus, 5lkh punjus, 4.5lk Tamils apart from 7.5lk Pakis &amp; 3lk Bangladeshis in UK.What do you expect? <url>",6,0,"{'0': 0.8300000000000001, '1': 0.17}",train,2
171,"According to Humphrey and Yes, Minister #Brexit has always been UK foreign policy:
<url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
172,"RT <user>: This is what I wrote BEFORE #Brexit. Please read it. Anti-immigration is caused by neoliberalism and austerity.

<url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
173,"#ICYMI: Australia to team with NZ to negotiate new trade, immigration deals following #Brexit <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
174,Happened before #Brexit Toby. Get onto the police to start hunting racist Muslim gangs raping white British girls. <url>,6,1,"{'0': 0.17, '1': 0.8300000000000001}",train,2
175,Im a bloody foreign or immigrant  person this is im call everyday at work but im proud to live here #Brexit all the best,6,0,"{'0': 1.0, '1': 0.0}",train,0
176,<user> banks have access 2 foreign currency credit lines thru Bank of England so how r we running out of euros or dollars #uPlank #brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
177,"<user> what does ""some"" control over immigration actually mean? What do you have in mind? #Brexit",6,0,"{'0': 1.0, '1': 0.0}",train,0
178,Where is Lallana? Did we deport him for having a foreign name? #brexit #ENG #ISL,6,0,"{'0': 1.0, '1': 0.0}",train,0
179,Of course Dems have. Why you think they like illegals so much? <url>,6,0,"{'0': 0.67, '1': 0.33}",train,2
180,Why ? Because it has a Muslim mayor ? What about those Londoners who didn't vote for him ? <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
181,The UK must be amazing now there are no immigrants and the country has £350m extra a week to spend #Brexit #goodwork <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
182,"RT <user>: #Brexit 2/2 Does no one blame Merkel and her steadfast refusal to mollify Britain over non-war refugees etc, in precipitating thi…",6,0,"{'0': 1.0, '1': 0.0}",train,0
183,"People didn't know what they were voting for, they didn't know refugees aren't migrants or the EU doesn't run our NHS or economy #Brexit",6,0,"{'0': 1.0, '1': 0.0}",train,0
184,EU asylum for Scotland and a safe border - british economic refugees shouldn't come to Scotland ... #Brexit #sarcasmbtw,6,0,"{'0': 1.0, '1': 0.0}",train,0
185,#Brexit: Immigration and Sovereignty were the real factors : EU coûtait peu au Royaume-Uni <url> via <user>,6,0,"{'0': 1.0, '1': 0.0}",train,0
186,The number One loser of the #Brexit is muslim animal traitor barrack obama! <url>,6,1,"{'0': 0.33, '1': 0.67}",train,2
